community_pair,four_cell_accounts,pairwise_blocks_upper_bound,period_scheme
ApplyingToCollege / AskAcademia,0,0,cut2016
ApplyingToCollege / AskAcademia,0,0,cut2017
ApplyingToCollege / AskAcademia,2,1,cut2018
ApplyingToCollege / AskAcademia,0,0,matched2017_2018
ApplyingToCollege / AskPhysics,0,0,cut2016
ApplyingToCollege / AskPhysics,0,0,cut2017
ApplyingToCollege / AskPhysics,2,1,cut2018
ApplyingToCollege / AskPhysics,1,0,matched2017_2018
ApplyingToCollege / Cornell,0,0,cut2016
ApplyingToCollege / Cornell,0,0,cut2017
ApplyingToCollege / Cornell,0,0,cut2018
ApplyingToCollege / Cornell,0,0,matched2017_2018
ApplyingToCollege / GradSchool,0,0,cut2016
ApplyingToCollege / GradSchool,0,0,cut2017
ApplyingToCollege / GradSchool,2,1,cut2018
ApplyingToCollege / GradSchool,0,0,matched2017_2018
ApplyingToCollege / PhD,0,0,cut2016
ApplyingToCollege / PhD,0,0,cut2017
ApplyingToCollege / PhD,0,0,cut2018
ApplyingToCollege / PhD,0,0,matched2017_2018
ApplyingToCollege / Physics,0,0,cut2016
ApplyingToCollege / Physics,0,0,cut2017
ApplyingToCollege / Physics,2,1,cut2018
ApplyingToCollege / Physics,1,0,matched2017_2018
ApplyingToCollege / college,9,4,cut2016
ApplyingToCollege / college,6,3,cut2017
ApplyingToCollege / college,7,3,cut2018
ApplyingToCollege / college,2,1,matched2017_2018
AskAcademia / AskPhysics,3,1,cut2016
AskAcademia / AskPhysics,2,1,cut2017
AskAcademia / AskPhysics,3,1,cut2018
AskAcademia / AskPhysics,1,0,matched2017_2018
AskAcademia / Cornell,0,0,cut2016
AskAcademia / Cornell,0,0,cut2017
AskAcademia / Cornell,0,0,cut2018
AskAcademia / Cornell,0,0,matched2017_2018
AskAcademia / GradSchool,36,18,cut2016
AskAcademia / GradSchool,33,16,cut2017
AskAcademia / GradSchool,23,11,cut2018
AskAcademia / GradSchool,12,6,matched2017_2018
AskAcademia / PhD,0,0,cut2016
AskAcademia / PhD,1,0,cut2017
AskAcademia / PhD,1,0,cut2018
AskAcademia / PhD,0,0,matched2017_2018
AskAcademia / Physics,5,2,cut2016
AskAcademia / Physics,6,3,cut2017
AskAcademia / Physics,4,2,cut2018
AskAcademia / Physics,2,1,matched2017_2018
AskAcademia / college,6,3,cut2016
AskAcademia / college,5,2,cut2017
AskAcademia / college,4,2,cut2018
AskAcademia / college,1,0,matched2017_2018
AskPhysics / Cornell,0,0,cut2016
AskPhysics / Cornell,0,0,cut2017
AskPhysics / Cornell,0,0,cut2018
AskPhysics / Cornell,0,0,matched2017_2018
AskPhysics / GradSchool,1,0,cut2016
AskPhysics / GradSchool,0,0,cut2017
AskPhysics / GradSchool,2,1,cut2018
AskPhysics / GradSchool,0,0,matched2017_2018
AskPhysics / PhD,0,0,cut2016
AskPhysics / PhD,0,0,cut2017
AskPhysics / PhD,0,0,cut2018
AskPhysics / PhD,0,0,matched2017_2018
AskPhysics / Physics,32,16,cut2016
AskPhysics / Physics,32,16,cut2017
AskPhysics / Physics,29,14,cut2018
AskPhysics / Physics,21,10,matched2017_2018
AskPhysics / college,0,0,cut2016
AskPhysics / college,0,0,cut2017
AskPhysics / college,2,1,cut2018
AskPhysics / college,0,0,matched2017_2018
Cornell / GradSchool,0,0,cut2016
Cornell / GradSchool,0,0,cut2017
Cornell / GradSchool,0,0,cut2018
Cornell / GradSchool,0,0,matched2017_2018
Cornell / PhD,0,0,cut2016
Cornell / PhD,0,0,cut2017
Cornell / PhD,0,0,cut2018
Cornell / PhD,0,0,matched2017_2018
Cornell / Physics,0,0,cut2016
Cornell / Physics,0,0,cut2017
Cornell / Physics,0,0,cut2018
Cornell / Physics,0,0,matched2017_2018
Cornell / college,0,0,cut2016
Cornell / college,0,0,cut2017
Cornell / college,0,0,cut2018
Cornell / college,0,0,matched2017_2018
GradSchool / PhD,0,0,cut2016
GradSchool / PhD,4,2,cut2017
GradSchool / PhD,2,1,cut2018
GradSchool / PhD,1,0,matched2017_2018
GradSchool / Physics,1,0,cut2016
GradSchool / Physics,1,0,cut2017
GradSchool / Physics,3,1,cut2018
GradSchool / Physics,1,0,matched2017_2018
GradSchool / college,4,2,cut2016
GradSchool / college,5,2,cut2017
GradSchool / college,4,2,cut2018
GradSchool / college,1,0,matched2017_2018
PhD / Physics,0,0,cut2016
PhD / Physics,0,0,cut2017
PhD / Physics,0,0,cut2018
PhD / Physics,0,0,matched2017_2018
PhD / college,0,0,cut2016
PhD / college,0,0,cut2017
PhD / college,0,0,cut2018
PhD / college,0,0,matched2017_2018
Physics / college,0,0,cut2016
Physics / college,0,0,cut2017
Physics / college,2,1,cut2018
Physics / college,0,0,matched2017_2018
