community_pair,proposed_period_scheme,four_cell_accounts,disjoint_account_slots,disjoint_blocks,planned_blocks,unfilled_account_slots,all_history_necessary_accounts
ApplyingToCollege / college,cut2016,9,8,4,10,12,61
AskAcademia / GradSchool,cut2016,36,20,10,10,0,184
AskPhysics / Physics,cut2016,32,20,10,10,0,135
