method_id,view,n,stratum_id,arm,category,planned_cases,full_qualified,arm_qualified,intersection_cases,full_mean_on_intersection,arm_mean_on_intersection,arm_minus_full_count,arm_minus_full_mean,arm_minus_full_min,arm_minus_full_q25,arm_minus_full_median,arm_minus_full_q75,arm_minus_full_max
cosine_distance_v1,retained_prose,4,stratum-01,hash75,same_account_same_community,40,40,35,35,0.16017881258648242,0.19957835707402236,35,0.03939954448753992,0.007833209170759914,0.026577682706758088,0.03963342920289992,0.048680984397017846,0.0999067231453784
cosine_distance_v1,retained_prose,4,stratum-01,hash75,different_account_same_community,40,40,36,36,0.19096657924550992,0.2304471707830391,36,0.039480591537529204,0.004325961357821928,0.02759469406141704,0.03606580757822314,0.04673249220418718,0.10064691650127255
cosine_distance_v1,retained_prose,4,stratum-01,hash75,same_account_different_community,40,40,36,36,0.16265324285992902,0.1995510290709111,36,0.03689778621098208,0.007609675341789135,0.027592011913465636,0.035146770505541325,0.04781149005685456,0.06595387407839881
cosine_distance_v1,retained_prose,4,stratum-01,hash75,different_account_different_community,40,40,35,35,0.1885699314338325,0.22959806345905298,35,0.041028132025220515,0.009774064278480155,0.03279279034205629,0.04253891835609136,0.04817784812384601,0.07976247482228405
cosine_distance_v1,retained_prose,4,stratum-02,hash75,same_account_same_community,40,40,33,33,0.18718024058564992,0.22405865455218746,33,0.03687841396653757,6.535696434673e-05,0.024573299470514676,0.03236076286155298,0.05057505080124214,0.074445917090875
cosine_distance_v1,retained_prose,4,stratum-02,hash75,different_account_same_community,40,40,33,33,0.21868533148005911,0.2555200946316369,33,0.03683476315157773,-0.0027821554784039915,0.02146452747030525,0.036898715787260894,0.05188065644832973,0.06947336976285723
cosine_distance_v1,retained_prose,4,stratum-02,hash75,same_account_different_community,40,40,33,33,0.1945012569857657,0.23334647957934132,33,0.038845222593575625,0.007378064405457074,0.02269052668745275,0.03876984630340585,0.05313795646772512,0.074790322054191
cosine_distance_v1,retained_prose,4,stratum-02,hash75,different_account_different_community,40,40,33,33,0.22356460047571494,0.2587882165606822,33,0.035223616084967206,0.0062622196880990355,0.021570444664457122,0.033691495310977704,0.045774123972994296,0.08815471082416848
cosine_distance_v1,retained_prose,4,stratum-03,hash75,same_account_same_community,40,40,38,38,0.19215441728437077,0.22843270091163123,38,0.03627828362726041,-0.0383120353024381,0.024218880431772866,0.03511644217518772,0.0462176105704904,0.13968533862064236
cosine_distance_v1,retained_prose,4,stratum-03,hash75,different_account_same_community,40,40,38,38,0.23145123548699084,0.26841662408964023,38,0.03696538860264941,-0.031499300848318534,0.018496539846600435,0.03772171525665158,0.05021719625336615,0.10410461066323551
cosine_distance_v1,retained_prose,4,stratum-03,hash75,same_account_different_community,40,40,38,38,0.20525760011943786,0.2410594151969084,38,0.035801815077470545,-0.02784044387045881,0.021776090032209816,0.03142195863037689,0.04414542117396206,0.15626737598730223
cosine_distance_v1,retained_prose,4,stratum-03,hash75,different_account_different_community,40,40,38,38,0.24144793112881244,0.27518301019448793,38,0.03373507906567551,-0.010637835507723459,0.01685862737749244,0.027044616257940968,0.04710810386741715,0.11962089047077529
cosine_distance_v1,retained_prose,4,stratum-01,hash50,same_account_same_community,40,40,12,12,0.15244743609372083,0.22849718884066159,12,0.07604975274694074,0.032052437911665566,0.07135972277247737,0.08175672223889585,0.0876877497801303,0.10521475054915852
cosine_distance_v1,retained_prose,4,stratum-01,hash50,different_account_same_community,40,40,14,14,0.1920381108221145,0.2623476098344783,14,0.0703094990123638,0.050360014691812394,0.05879846744226219,0.0671865671372549,0.08112715662212253,0.10269523021200389
cosine_distance_v1,retained_prose,4,stratum-01,hash50,same_account_different_community,40,40,11,11,0.164167621840932,0.24376296555337998,11,0.07959534371244802,0.052027980392456485,0.06565363610047381,0.08481501734458152,0.09442060404039415,0.10216490365173969
cosine_distance_v1,retained_prose,4,stratum-01,hash50,different_account_different_community,40,40,12,12,0.19236456429069815,0.2638607415393554,12,0.07149617724865726,0.031528743579896656,0.06656753572709148,0.07582448034229122,0.08178168736729904,0.09100320608347967
cosine_distance_v1,retained_prose,4,stratum-02,hash50,same_account_same_community,40,40,10,10,0.16532835696168052,0.2386591014539879,10,0.07333074449230731,0.04779025138526949,0.05603172147695712,0.07495316611785546,0.08683014645049067,0.0980691505017417
cosine_distance_v1,retained_prose,4,stratum-02,hash50,different_account_same_community,40,40,12,12,0.2030280753458763,0.2840118741352483,12,0.08098379878937201,0.023991213737297623,0.0657923518469094,0.08202249374076442,0.10116332980487897,0.11722415666483077
cosine_distance_v1,retained_prose,4,stratum-02,hash50,same_account_different_community,40,40,13,13,0.1804850648510913,0.2615164700161794,13,0.08103140516508803,0.06068727491873349,0.06323987544839715,0.08136338532355702,0.0861391458203441,0.1435635415539982
cosine_distance_v1,retained_prose,4,stratum-02,hash50,different_account_different_community,40,40,12,12,0.19836766894551391,0.27256531542345025,12,0.07419764647793635,0.02582240006939951,0.05685545085430352,0.07465211999619786,0.08714678846556029,0.11539089576812711
cosine_distance_v1,retained_prose,4,stratum-03,hash50,same_account_same_community,40,40,14,14,0.1818302102329443,0.2593581491260456,14,0.07752793889310135,-0.0068904097709910905,0.0673919766285958,0.08496435990170204,0.09650599655428332,0.1167170812804681
cosine_distance_v1,retained_prose,4,stratum-03,hash50,different_account_same_community,40,40,12,12,0.21699559988992098,0.2982959401594379,12,0.08130034026951694,0.03558219483637226,0.059223542689945396,0.07768697389784807,0.08492353059468438,0.1592767822529655
cosine_distance_v1,retained_prose,4,stratum-03,hash50,same_account_different_community,40,40,13,13,0.19284273552024533,0.28358605028107237,13,0.09074331476082706,0.049520861664359095,0.07187645019975442,0.0851609906945886,0.10396885175894599,0.1424172265979491
cosine_distance_v1,retained_prose,4,stratum-03,hash50,different_account_different_community,40,40,14,14,0.22079934956672623,0.2993644855623571,14,0.07856513599563088,0.022380652548037006,0.06297671666169091,0.08100802268471713,0.09240427405982221,0.1253732773849281
cosine_distance_v1,retained_prose,4,stratum-01,middle50,same_account_same_community,40,40,12,12,0.16191254933847332,0.2523341412719358,12,0.09042159193346248,0.06706162255610104,0.07960034863461754,0.09171945986686969,0.10090788690903366,0.114293623501451
cosine_distance_v1,retained_prose,4,stratum-01,middle50,different_account_same_community,40,40,10,10,0.18406855448339826,0.2670820543716768,10,0.08301349988827852,0.056463359214814046,0.06641079462602162,0.08525196746195768,0.09969572841120306,0.10709060300846318
cosine_distance_v1,retained_prose,4,stratum-01,middle50,same_account_different_community,40,40,9,9,0.15728843056832031,0.2433238015236734,9,0.08603537095535303,0.06570438666088996,0.078056831136605,0.08971076094771169,0.09974719783169261,0.10132782784956118
cosine_distance_v1,retained_prose,4,stratum-01,middle50,different_account_different_community,40,40,11,11,0.17967707068070418,0.2632937105611012,11,0.08361663988039698,0.049719742630754404,0.06511690668369846,0.0914444294771114,0.09603280947383014,0.11634789580560845
cosine_distance_v1,retained_prose,4,stratum-02,middle50,same_account_same_community,40,40,8,8,0.20751362287720457,0.24963859512528563,8,0.04212497224808108,-0.25281630089588614,0.055131955866153964,0.07408171840894112,0.10233531420352979,0.1262115834104609
cosine_distance_v1,retained_prose,4,stratum-02,middle50,different_account_same_community,40,40,9,9,0.20360447094666898,0.2989574662183944,9,0.09535299527172543,0.0361793022935849,0.07170465806504789,0.09827126953388998,0.11581571613832675,0.14027983963223312
cosine_distance_v1,retained_prose,4,stratum-02,middle50,same_account_different_community,40,40,6,6,0.24253880162387342,0.2796770966857322,6,0.03713829506185873,-0.23383652715625014,0.06325540039529479,0.08974926852859999,0.09473435660353322,0.1263475968241652
cosine_distance_v1,retained_prose,4,stratum-02,middle50,different_account_different_community,40,40,9,9,0.2588148876051559,0.3082402671943829,9,0.049425379589227075,-0.2501798673867506,0.02973373002011437,0.08999819324189107,0.09862442197197396,0.14865505658054312
cosine_distance_v1,retained_prose,4,stratum-03,middle50,same_account_same_community,40,40,15,15,0.19890674215239898,0.30725153704113217,15,0.10834479488873318,0.065009102664071,0.08970841628857207,0.09831070939140796,0.12448829302155617,0.17706814102788904
cosine_distance_v1,retained_prose,4,stratum-03,middle50,different_account_same_community,40,40,17,17,0.22251966967528816,0.3214088295835684,17,0.09888915990828023,0.053993790402451114,0.07117961091596436,0.09521318745041862,0.11339442561791702,0.15799996120927295
cosine_distance_v1,retained_prose,4,stratum-03,middle50,same_account_different_community,40,40,16,16,0.2029326711856303,0.30441017739492193,16,0.10147750620929163,0.06903438522715855,0.08501429338934771,0.10031508121715105,0.11640692511480474,0.13877221243659932
cosine_distance_v1,retained_prose,4,stratum-03,middle50,different_account_different_community,40,40,18,18,0.2284401744286889,0.3330207668566655,18,0.10458059242797657,0.06253433827189958,0.0791291888598756,0.09695551231089872,0.1237639263572258,0.1911134991504515
cosine_distance_v1,function_mask_v1,4,stratum-01,hash75,same_account_same_community,40,40,35,35,0.0012448306625853008,0.0015475756403633284,35,0.0003027449777780276,-0.0006461378764782699,6.462775990173641e-05,0.00020966562193580618,0.0004656750445204416,0.0014913897944041077
cosine_distance_v1,function_mask_v1,4,stratum-01,hash75,different_account_same_community,40,40,36,36,0.0018107898820350571,0.002285802938838859,36,0.00047501305680380183,-0.0002020999674166024,0.00012523604799138943,0.00027615388223478643,0.000761125349751729,0.0022763460237404942
cosine_distance_v1,function_mask_v1,4,stratum-01,hash75,same_account_different_community,40,40,36,36,0.0012455198577046023,0.001536179161835451,36,0.0002906593041308488,-0.0006621802091750784,3.493171418417207e-05,0.00023609044664973933,0.0004160648026780289,0.0018543995423270232
cosine_distance_v1,function_mask_v1,4,stratum-01,hash75,different_account_different_community,40,40,35,35,0.001975203998675764,0.0024527724599992798,35,0.0004775684613235155,-0.0001938130793316395,3.332105789366491e-05,0.0003657815471383996,0.000835333400735272,0.0020231035665950747
cosine_distance_v1,function_mask_v1,4,stratum-02,hash75,same_account_same_community,40,40,33,33,0.001569334561006046,0.0020329924725667123,33,0.0004636579115606665,-0.00036283736721332005,0.00010701711070837394,0.00027030177026043933,0.0005149601701466278,0.0020962211975014133
cosine_distance_v1,function_mask_v1,4,stratum-02,hash75,different_account_same_community,40,40,33,33,0.002322998972316541,0.002674771236086992,33,0.000351772263770451,-0.0005763580094091392,7.716118215805867e-05,0.00018733938203452372,0.0006194715375695825,0.002424662086194629
cosine_distance_v1,function_mask_v1,4,stratum-02,hash75,same_account_different_community,40,40,33,33,0.0017170108868941561,0.0022406019730562437,33,0.0005235910861620876,-0.00016614578927154344,0.00014916516593554974,0.0003991108149038469,0.0005856628821234722,0.0023304269840405123
cosine_distance_v1,function_mask_v1,4,stratum-02,hash75,different_account_different_community,40,40,33,33,0.0026128333222642957,0.003005264629493505,33,0.00039243130722920957,-0.0006167932366827333,2.1471895834568322e-05,0.00023394224607520275,0.0007320381591423564,0.0024262662622467346
cosine_distance_v1,function_mask_v1,4,stratum-03,hash75,same_account_same_community,40,40,38,38,0.0020442436759619278,0.0023039085567378233,38,0.0002596648807758953,-0.007301637667625149,0.0001196389468896275,0.00038254067998361174,0.0006281911453357714,0.0044115156844694026
cosine_distance_v1,function_mask_v1,4,stratum-03,hash75,different_account_same_community,40,40,38,38,0.0035955363309329493,0.00396160828217556,38,0.000366071951242611,-0.0069141512557537865,6.974613886498449e-05,0.00025588303492801723,0.0008797006224298964,0.005014700213158085
cosine_distance_v1,function_mask_v1,4,stratum-03,hash75,same_account_different_community,40,40,38,38,0.0026271035225297144,0.0030553454714745075,38,0.0004282419489447929,-0.004662890831255595,0.00011759525216387123,0.0003998426000043631,0.0007930118502754435,0.004621528968223654
cosine_distance_v1,function_mask_v1,4,stratum-03,hash75,different_account_different_community,40,40,38,38,0.003822660315674003,0.004039949187971567,38,0.00021728887229756428,-0.00516169192452387,-8.58308923009643e-05,0.00039143976805178227,0.0007203334905260261,0.004018349582923797
cosine_distance_v1,function_mask_v1,4,stratum-01,hash50,same_account_same_community,40,40,12,12,0.0013989874641192983,0.0018168497407567707,12,0.0004178622766374725,-0.0006869597736905986,0.00015487402200287104,0.00042099357980562857,0.0006164868604272011,0.001480731330656182
cosine_distance_v1,function_mask_v1,4,stratum-01,hash50,different_account_same_community,40,40,14,14,0.0018157878592493198,0.002491048716976474,14,0.0006752608577271542,0.00024366229903827197,0.0003400449242633996,0.0007173263178598122,0.0009458095222109053,0.0013144903821514786
cosine_distance_v1,function_mask_v1,4,stratum-01,hash50,same_account_different_community,40,40,11,11,0.001135805636565154,0.0016931749030797618,11,0.0005573692665146079,-3.990984817858756e-05,0.0003597532721399399,0.00045412756104867835,0.0007680136863283393,0.0012737678473405678
cosine_distance_v1,function_mask_v1,4,stratum-01,hash50,different_account_different_community,40,40,12,12,0.0018014978477172428,0.0021172356136518653,12,0.0003157377659346224,-0.00042103654156377956,8.066032617876084e-05,0.00043525640043701186,0.0006461209150883107,0.0007728367311666817
cosine_distance_v1,function_mask_v1,4,stratum-02,hash50,same_account_same_community,40,40,10,10,0.0012107186919131485,0.002038690336478044,10,0.0008279716445648954,0.0004758382078083878,0.0005277057036290334,0.0006392205701619136,0.0009373741915698619,0.002137300172152079
cosine_distance_v1,function_mask_v1,4,stratum-02,hash50,different_account_same_community,40,40,12,12,0.0019275375659877358,0.0025708143734107236,12,0.0006432768074229878,-0.0004464792993248423,0.00025239121388462293,0.0005691465422297259,0.0009653798958852433,0.0023950673931059097
cosine_distance_v1,function_mask_v1,4,stratum-02,hash50,same_account_different_community,40,40,13,13,0.0014620240075267589,0.0024894401718812066,13,0.0010274161643544478,0.00026278575174576435,0.00039399702866782516,0.00048047385088889616,0.0007451499563890795,0.003951840924739436
cosine_distance_v1,function_mask_v1,4,stratum-02,hash50,different_account_different_community,40,40,12,12,0.002020771732021448,0.002787846263507652,12,0.0007670745314862041,9.125273817889301e-05,0.0003201149688600857,0.0006190065721293769,0.001039956407375725,0.002462202591302698
cosine_distance_v1,function_mask_v1,4,stratum-03,hash50,same_account_same_community,40,40,14,14,0.001929167852850609,0.003014631196920573,14,0.0010854633440699638,-0.0005721711893115211,0.0004384679016699311,0.0008559679639404405,0.0015625028508592376,0.0030291450274735343
cosine_distance_v1,function_mask_v1,4,stratum-03,hash50,different_account_same_community,40,40,12,12,0.0029964601094395285,0.004120183572049713,12,0.001123723462610184,-0.00038559754128186796,0.00015383305378249834,0.00065548518511932,0.0012746981173069327,0.006439403676465005
cosine_distance_v1,function_mask_v1,4,stratum-03,hash50,same_account_different_community,40,40,13,13,0.0022962431938916986,0.0037318699417693622,13,0.0014356267478776634,0.00045259303475087,0.0007592498949472448,0.0013878176579077417,0.001575034108915685,0.004430656144702283
cosine_distance_v1,function_mask_v1,4,stratum-03,hash50,different_account_different_community,40,40,14,14,0.003595240219606618,0.004696809886289082,14,0.001101569666682464,-6.167225494313477e-05,0.0002969836025645267,0.001136391974786155,0.0016443011410406383,0.003284667856637169
cosine_distance_v1,function_mask_v1,4,stratum-01,middle50,same_account_same_community,40,40,12,12,0.001257049467269733,0.0021120132000931415,12,0.0008549637328234087,0.00010628766324072281,0.0002601712643464926,0.000512920904209957,0.0012266301451397954,0.0026453290331587276
cosine_distance_v1,function_mask_v1,4,stratum-01,middle50,different_account_same_community,40,40,10,10,0.001706449393688969,0.0022505697638991683,10,0.0005441203702101993,-0.0011478290676167902,0.0002845496865863384,0.00043041192572779163,0.0007655405839569474,0.0025899859070536158
cosine_distance_v1,function_mask_v1,4,stratum-01,middle50,same_account_different_community,40,40,9,9,0.0010664302098280078,0.0019071354497151522,9,0.0008407052398871443,0.00013394641749797653,0.00037548200257264686,0.0008069057867174934,0.0012940956735500997,0.001671805297718043
cosine_distance_v1,function_mask_v1,4,stratum-01,middle50,different_account_different_community,40,40,11,11,0.0013757505046768244,0.0018500673404893244,11,0.0004743168358124999,-0.0009795556524848648,7.796632878587229e-05,0.0007247408737782735,0.000907304440694201,0.001131769768783486
cosine_distance_v1,function_mask_v1,4,stratum-02,middle50,same_account_same_community,40,40,8,8,0.002771100551411901,0.001802483895405424,8,-0.0009686166560064768,-0.010026783971900488,-0.0001601830710652452,0.00021497079399046548,0.0004986455903047415,0.0011909296108985057
cosine_distance_v1,function_mask_v1,4,stratum-02,middle50,different_account_same_community,40,40,9,9,0.0018693928859624027,0.0028989650877363493,9,0.0010295722017739466,-4.0223149705975736e-05,0.0005300726654628996,0.000909456079122517,0.0013084539227131708,0.002770781281773216
cosine_distance_v1,function_mask_v1,4,stratum-02,middle50,same_account_different_community,40,40,6,6,0.0031121595078050976,0.0025746067758404823,6,-0.0005375527319646153,-0.00871021523443527,8.875568380856125e-05,0.000645613799250655,0.0011562970753820345,0.0029640100980592443
cosine_distance_v1,function_mask_v1,4,stratum-02,middle50,different_account_different_community,40,40,9,9,0.003345243476871904,0.0029845464223746676,9,-0.0003606970544972363,-0.007512831136620379,-0.00010285649713037692,0.0005927561720624475,0.0009544589212466814,0.001409104903278502
cosine_distance_v1,function_mask_v1,4,stratum-03,middle50,same_account_same_community,40,40,15,15,0.0025093903665599935,0.004347084849763006,15,0.0018376944832030119,0.000375482126177884,0.0007497676372877904,0.001122114367638205,0.0018821530183518176,0.006088293269475908
cosine_distance_v1,function_mask_v1,4,stratum-03,middle50,different_account_same_community,40,40,17,17,0.0036994917286473704,0.005882141107084424,17,0.0021826493784370534,0.0003570859930922543,0.0008539605773758563,0.0018807488437181386,0.002431705205134582,0.00635388620878341
cosine_distance_v1,function_mask_v1,4,stratum-03,middle50,same_account_different_community,40,40,16,16,0.002593058213252994,0.004423424633740909,16,0.0018303664204879153,3.904976629398593e-05,0.0012651539968346337,0.0013942684210289658,0.0024432186733452654,0.004522775507624699
cosine_distance_v1,function_mask_v1,4,stratum-03,middle50,different_account_different_community,40,40,18,18,0.003954676279203508,0.00621928282432634,18,0.002264606545122832,-0.0002709930298419039,0.0008069275327636516,0.0015730496264239613,0.0033988236652701675,0.008140286468990343
function_word_js_v1,lexical_tokens,,stratum-01,hash75,same_account_same_community,40,40,35,35,0.17139129723358335,0.19428776019239952,35,0.022896462958816182,0.002421696118755118,0.01460201829836641,0.01926936436316648,0.03002732538396831,0.05764355670235685
function_word_js_v1,lexical_tokens,,stratum-01,hash75,different_account_same_community,40,40,36,36,0.19005556650895372,0.21069654490482256,36,0.020640978395868856,-6.140124801418123e-05,0.013174271913993188,0.018081883859465672,0.02613001959594212,0.04745722542628569
function_word_js_v1,lexical_tokens,,stratum-01,hash75,same_account_different_community,40,40,36,36,0.17160437468899964,0.19349052359800806,36,0.021886148909008384,-0.0005743435232697935,0.014764807157966936,0.019633757613954805,0.029727513045037124,0.04022883642202074
function_word_js_v1,lexical_tokens,,stratum-01,hash75,different_account_different_community,40,40,35,35,0.18626262761766124,0.20740159693401536,35,0.021138969316354134,0.006000220868097539,0.011942529189885559,0.020031284989047105,0.026572590103646834,0.05763130676997455
function_word_js_v1,lexical_tokens,,stratum-02,hash75,same_account_same_community,40,40,33,33,0.17305370886310026,0.19414765735204323,33,0.02109394848894298,0.0036672823638514984,0.013845935555620581,0.019132027118641703,0.028833247276121965,0.04503873635633951
function_word_js_v1,lexical_tokens,,stratum-02,hash75,different_account_same_community,40,40,33,33,0.19678282883883616,0.21740307818959542,33,0.020620249350759234,0.0006590138281763469,0.013739503536303682,0.01896583025834181,0.02857396765257128,0.04948697718867828
function_word_js_v1,lexical_tokens,,stratum-02,hash75,same_account_different_community,40,40,33,33,0.1832250902202056,0.20460749467711734,33,0.02138240445691171,0.003965528463725304,0.011876681451514465,0.022148360671010447,0.02908663501618497,0.048923024010469524
function_word_js_v1,lexical_tokens,,stratum-02,hash75,different_account_different_community,40,40,33,33,0.2019178190268238,0.22115581565364584,33,0.01923799662682203,-0.007541990908935314,0.009851457344065784,0.01906819628732695,0.028499568508828704,0.05796285029389131
function_word_js_v1,lexical_tokens,,stratum-03,hash75,same_account_same_community,40,40,38,38,0.17368749935077687,0.19588110351214227,38,0.02219360416136539,0.0032236604900355015,0.01559496745018344,0.02036100843747793,0.027754942943822976,0.04342324733422098
function_word_js_v1,lexical_tokens,,stratum-03,hash75,different_account_same_community,40,40,38,38,0.20108108257775864,0.2184196160701988,38,0.017338533492440147,-0.01122328794154187,0.008619730565880002,0.015030060450831273,0.024844830814735826,0.05436727803764829
function_word_js_v1,lexical_tokens,,stratum-03,hash75,same_account_different_community,40,40,38,38,0.18304996809438104,0.20092657749210424,38,0.0178766093977232,-0.010410561951812225,0.008493125100887927,0.016848276067754422,0.023849545566028522,0.045875326870428196
function_word_js_v1,lexical_tokens,,stratum-03,hash75,different_account_different_community,40,40,38,38,0.2100089250619334,0.2270640187903632,38,0.0170550937284298,-0.011843952190145834,0.007674585847097383,0.014568291838408479,0.024216665727915795,0.04867052637079444
function_word_js_v1,lexical_tokens,,stratum-01,hash50,same_account_same_community,40,40,12,12,0.172580212926661,0.21596726058422977,12,0.043387047657568754,0.01345703485468619,0.03560247851303365,0.04511875552910512,0.050655590155730006,0.05829367117026757
function_word_js_v1,lexical_tokens,,stratum-01,hash50,different_account_same_community,40,40,14,14,0.19373864031376256,0.23371593047539227,14,0.03997729016162975,0.014420028289828635,0.032816945495039246,0.03958624816888617,0.04897489419309332,0.06137959050963074
function_word_js_v1,lexical_tokens,,stratum-01,hash50,same_account_different_community,40,40,11,11,0.1766955789784124,0.21806990793645828,11,0.041374328958045894,0.02834578369189955,0.03341425553912525,0.03818405898037994,0.04715161209728819,0.06364723927050117
function_word_js_v1,lexical_tokens,,stratum-01,hash50,different_account_different_community,40,40,12,12,0.19117866158747132,0.2305236625389291,12,0.039345000951457786,0.02470272812538718,0.032854469773571635,0.036879416449366945,0.04968739753328733,0.0554339768386799
function_word_js_v1,lexical_tokens,,stratum-02,hash50,same_account_same_community,40,40,10,10,0.17079302255070214,0.21118456083248338,10,0.040391538281781235,0.02376121507356793,0.028716108410530752,0.03228593944257328,0.057867287362210126,0.062007811231359206
function_word_js_v1,lexical_tokens,,stratum-02,hash50,different_account_same_community,40,40,12,12,0.18313620574050726,0.22991772516501888,12,0.046781519424511614,0.035571572833077686,0.04417600173657116,0.046778047846080445,0.050835502569615915,0.055447266500883746
function_word_js_v1,lexical_tokens,,stratum-02,hash50,same_account_different_community,40,40,13,13,0.1787687456110632,0.22191032004243663,13,0.04314157443137341,0.02346821467562002,0.03939660656739877,0.04063353804094044,0.047860307888160675,0.0693777230072477
function_word_js_v1,lexical_tokens,,stratum-02,hash50,different_account_different_community,40,40,12,12,0.20246517057658261,0.2354182152315125,12,0.03295304465492989,0.012812963641782193,0.024736705557053026,0.03491920618908917,0.040782829716391994,0.05085418469192979
function_word_js_v1,lexical_tokens,,stratum-03,hash50,same_account_same_community,40,40,14,14,0.17005053690278985,0.2114852414832047,14,0.04143470458041483,0.028032480869706305,0.034783619462826376,0.04142126328097184,0.04620134750540419,0.056930275757461485
function_word_js_v1,lexical_tokens,,stratum-03,hash50,different_account_same_community,40,40,12,12,0.19354302175284402,0.23476813143856287,12,0.04122510968571882,0.016145514019798635,0.03134492320756877,0.03986004963978286,0.04853715712709781,0.0684749441229262
function_word_js_v1,lexical_tokens,,stratum-03,hash50,same_account_different_community,40,40,13,13,0.182335348005705,0.22200505225526182,13,0.039669704249556806,0.023841805205331856,0.028500814640364802,0.03797734697073732,0.04390836745585042,0.07345710804886807
function_word_js_v1,lexical_tokens,,stratum-03,hash50,different_account_different_community,40,40,14,14,0.2081473367633373,0.24293327339029128,14,0.034785936626953964,0.010089316689363914,0.027983014285437376,0.03277500201414363,0.040055041267311964,0.06432385142589112
function_word_js_v1,lexical_tokens,,stratum-01,middle50,same_account_same_community,40,40,12,12,0.17277637482147712,0.2200686859643359,12,0.04729231114285879,0.02948390510457885,0.03740759474436022,0.04357233294638943,0.05550030388055694,0.07310274579857076
function_word_js_v1,lexical_tokens,,stratum-01,middle50,different_account_same_community,40,40,10,10,0.18386770245094414,0.2267006717706236,10,0.04283296931967945,0.02520472394596071,0.035384831179442744,0.04324882167984834,0.052200716406430356,0.05815551400207561
function_word_js_v1,lexical_tokens,,stratum-01,middle50,same_account_different_community,40,40,9,9,0.17040685768856084,0.21999191300465876,9,0.04958505531609793,0.022555338440961553,0.04525589536481256,0.050322236704351375,0.057241534824825274,0.07386237952357544
function_word_js_v1,lexical_tokens,,stratum-01,middle50,different_account_different_community,40,40,11,11,0.17873133919634474,0.2254796410706312,11,0.04674830187428647,0.023223928856406423,0.03420079701052109,0.05050203915336454,0.05766641540087705,0.07323550799414386
