method_id,view,n,arm,stratum_id,category,value_kind,planned_cases,null_values,count,mean,min,q25,median,q75,max
cosine_distance_v1,retained_prose,4,full,stratum-01,same_account_same_community,score,40,0,40,0.16342376252369012,0.13072509676590705,0.14554370721111268,0.15537210207711882,0.1767229494713262,0.24425325533741782
cosine_distance_v1,retained_prose,4,full,stratum-01,same_account_same_community,raw_distance,40,0,40,0.16342376252369012,0.13072509676590705,0.14554370721111268,0.15537210207711882,0.1767229494713262,0.24425325533741782
cosine_distance_v1,retained_prose,4,full,stratum-01,different_account_same_community,score,40,0,40,0.19296513631121012,0.14763201545391857,0.1751963104021975,0.18764712556297708,0.2058333009990752,0.2623205530359797
cosine_distance_v1,retained_prose,4,full,stratum-01,different_account_same_community,raw_distance,40,0,40,0.19296513631121012,0.14763201545391857,0.1751963104021975,0.18764712556297708,0.2058333009990752,0.2623205530359797
cosine_distance_v1,retained_prose,4,full,stratum-01,same_account_different_community,score,40,0,40,0.16434488013790968,0.13660776507928407,0.15056756950479938,0.16031832115386613,0.17789953188086294,0.21122592306574361
cosine_distance_v1,retained_prose,4,full,stratum-01,same_account_different_community,raw_distance,40,0,40,0.16434488013790968,0.13660776507928407,0.15056756950479938,0.16031832115386613,0.17789953188086294,0.21122592306574361
cosine_distance_v1,retained_prose,4,full,stratum-01,different_account_different_community,score,40,0,40,0.19234481735965367,0.1575950529006489,0.17655094351377207,0.18693628839803972,0.20135246099881565,0.278487221645487
cosine_distance_v1,retained_prose,4,full,stratum-01,different_account_different_community,raw_distance,40,0,40,0.19234481735965367,0.1575950529006489,0.17655094351377207,0.18693628839803972,0.20135246099881565,0.278487221645487
cosine_distance_v1,retained_prose,4,full,stratum-02,same_account_same_community,score,40,0,40,0.18884152190129097,0.13392541928375978,0.15486337025632682,0.17773783073745614,0.19991044854671328,0.5552995355500681
cosine_distance_v1,retained_prose,4,full,stratum-02,same_account_same_community,raw_distance,40,0,40,0.18884152190129097,0.13392541928375978,0.15486337025632682,0.17773783073745614,0.19991044854671328,0.5552995355500681
cosine_distance_v1,retained_prose,4,full,stratum-02,different_account_same_community,score,40,0,40,0.2241535160811941,0.1505283746491114,0.18570620701181761,0.2030046003391099,0.2426536000845588,0.5455977970821023
cosine_distance_v1,retained_prose,4,full,stratum-02,different_account_same_community,raw_distance,40,0,40,0.2241535160811941,0.1505283746491114,0.18570620701181761,0.2030046003391099,0.2426536000845588,0.5455977970821023
cosine_distance_v1,retained_prose,4,full,stratum-02,same_account_different_community,score,40,0,40,0.19948240112234114,0.12165323909959691,0.1661750723196717,0.18800714689068887,0.20710860923421665,0.5390469767005834
cosine_distance_v1,retained_prose,4,full,stratum-02,same_account_different_community,raw_distance,40,0,40,0.19948240112234114,0.12165323909959691,0.1661750723196717,0.18800714689068887,0.20710860923421665,0.5390469767005834
cosine_distance_v1,retained_prose,4,full,stratum-02,different_account_different_community,score,40,0,40,0.2278879574320393,0.1561919832818517,0.18709428170478085,0.21943188744782854,0.2446440611973631,0.5442187851449581
cosine_distance_v1,retained_prose,4,full,stratum-02,different_account_different_community,raw_distance,40,0,40,0.2278879574320393,0.1561919832818517,0.18709428170478085,0.21943188744782854,0.2446440611973631,0.5442187851449581
cosine_distance_v1,retained_prose,4,full,stratum-03,same_account_same_community,score,40,0,40,0.19265296107005023,0.12804753319788853,0.1540335589484104,0.1919836093496426,0.21887701275198232,0.31239877282438855
cosine_distance_v1,retained_prose,4,full,stratum-03,same_account_same_community,raw_distance,40,0,40,0.19265296107005023,0.12804753319788853,0.1540335589484104,0.1919836093496426,0.21887701275198232,0.31239877282438855
cosine_distance_v1,retained_prose,4,full,stratum-03,different_account_same_community,score,40,0,40,0.2350057432667909,0.1604445792413487,0.20544000767403417,0.22778232650186048,0.25855877397932026,0.3767804797401102
cosine_distance_v1,retained_prose,4,full,stratum-03,different_account_same_community,raw_distance,40,0,40,0.2350057432667909,0.1604445792413487,0.20544000767403417,0.22778232650186048,0.25855877397932026,0.3767804797401102
