stratum_id,communities,cut,whole_history_necessary_accounts,accounts_with_four_volume_cells,accounts_passing_internal_gates,compatible_edges,maximum_disjoint_blocks,cost_numerator,cost_denominator,matching_dp_states,intended_block_deficit
stratum-01,AskAcademia / GradSchool,2014-04-01T00:00:00Z,38,2,1,0,0,0,1,2,2
stratum-01,AskAcademia / GradSchool,2014-05-01T00:00:00Z,38,1,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2014-06-01T00:00:00Z,38,1,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2014-07-01T00:00:00Z,38,1,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2014-08-01T00:00:00Z,38,3,1,0,0,0,1,2,2
stratum-01,AskAcademia / GradSchool,2014-09-01T00:00:00Z,38,2,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2014-10-01T00:00:00Z,38,4,1,0,0,0,1,2,2
stratum-01,AskAcademia / GradSchool,2014-11-01T00:00:00Z,38,3,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2014-12-01T00:00:00Z,38,1,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2015-01-01T00:00:00Z,38,0,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2015-02-01T00:00:00Z,38,0,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2015-03-01T00:00:00Z,38,1,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2015-04-01T00:00:00Z,38,3,1,0,0,0,1,2,2
stratum-01,AskAcademia / GradSchool,2015-05-01T00:00:00Z,38,2,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2015-06-01T00:00:00Z,38,1,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2015-07-01T00:00:00Z,38,0,0,0,0,0,1,0,2
stratum-01,AskAcademia / GradSchool,2015-08-01T00:00:00Z,38,0,0,0,0,0,1,0,2
