community,archive_bytes,archive_sha256,records,comments,submissions,first_nonexcluded_utc,last_nonexcluded_utc,source_missing_thread,explicit_language_missing
ApplyingToCollege,155300755,046d9d2566b03dfbaa17d7d62f4311083a39897d2e35d170043e3be2e6a242e5,1148299,1027292,121007,2013-10-04T21:06:23Z,2018-10-31T23:59:50Z,0,1148299
Cornell,11186877,f153a56a343e6d9568d90b635d44d1ccca71479ac19cd28e075587485bad715d,74467,63723,10744,2009-06-24T01:24:24Z,2018-10-31T23:59:16Z,0,74467
college,133664381,31a124155a303bdb3e0e91a1a97c48964ccfffa14585b5088b94935660722aa9,774380,663790,110590,2008-04-09T06:44:25Z,2018-10-31T23:58:48Z,0,774380
